ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ts
25,23,43,103,225,64,31,26,1560803752.303902
28,25,44,100,258,65,33,28,1560803752.325934
29,27,44,101,271,64,34,29,1560803752.340181
27,26,39,80,256,53,31,29,1560803752.371623
29,27,44,77,265,57,30,27,1560803752.385925
29,29,46,73,226,52,33,28,1560803752.416081
29,29,44,68,187,48,32,25,1560803752.4234939
33,30,42,56,182,51,32,23,1560803752.446017
34,30,44,57,219,56,32,22,1560803752.460245
36,31,39,78,242,57,32,26,1560803752.4850788
49,39,43,80,290,66,36,25,1560803752.505748
53,42,46,91,322,77,40,28,1560803752.520125
55,42,48,95,342,80,41,27,1560803752.545183
55,46,50,95,322,76,41,28,1560803752.566214
79,46,50,84,321,75,40,27,1560803752.580277
82,41,48,82,305,69,35,29,1560803752.6034448
84,37,46,74,308,63,33,28,1560803752.625795
83,38,44,80,304,60,33,29,1560803752.648165
85,33,42,92,351,67,34,28,1560803752.663529
119,36,48,107,375,72,39,29,1560803752.686054
128,38,50,108,376,74,40,28,1560803752.70032
